Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000005962,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000006621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000006795,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000008130,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000001621,0.8272104874401447,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000001702,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000007027,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000007318,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000001219,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000006483,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000006730,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000008342,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000000488,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000003062,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000006620,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000006845,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000007801,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000008195,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000002076,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000005462,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000006809,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000006831,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000007152,,,Ingredient,Other Ingredients,Acids,Other Acids
200000007175,ACID-POWDER-MALIC-ACID,Global,ward_euclidean,77460.0288001562,336219.8834759096,7,5,4,2,200000007287,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000008130,1.0,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000005962,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000006621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000006795,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000007175,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000001621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000001702,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000007027,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000007318,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000001219,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000006483,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000006730,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000008342,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000000488,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000003062,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000006620,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000006845,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000007801,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000008195,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000002076,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000005462,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000006809,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000006831,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000007152,,,Ingredient,Other Ingredients,Acids,Other Acids
200000008130,MALIC ACID-REGULAR,Global,ward_euclidean,27000.0,139748.131083578,11,6,11,8,200000007287,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000001621,0.9999999999999997,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000005962,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000006621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000006795,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000007175,0.8272104874401447,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000008130,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000001702,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000007027,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000007318,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000001219,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000006483,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000006730,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000008342,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000000488,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000003062,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000006620,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000006845,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000007801,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000008195,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000002076,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000005462,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000006809,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000006831,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000007152,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001621,"Acid, DL-Malic Acid, Fine Granular",Global,ward_euclidean,38350.0,116344.69734877339,7,5,4,4,200000007287,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001702,EM INGREDIENT - Acid-Malic-powder,Global,ward_euclidean,700.0,3295.907865271518,1,6,1,10,200000001702,1.0000000000000009,,Ingredient,Other Ingredients,Acids,Other Acids
200000001702,EM INGREDIENT - Acid-Malic-powder,Global,ward_euclidean,700.0,3295.907865271518,1,6,1,10,200000005962,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001702,EM INGREDIENT - Acid-Malic-powder,Global,ward_euclidean,700.0,3295.907865271518,1,6,1,10,200000006621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001702,EM INGREDIENT - Acid-Malic-powder,Global,ward_euclidean,700.0,3295.907865271518,1,6,1,10,200000006795,,,Ingredient,Other Ingredients,Acids,Other Acids
200000001702,EM INGREDIENT - Acid-Malic-powder,Global,ward_euclidean,700.0,3295.907865271518,1,6,1,10,200000007175,,,Ingredient,Other Ingredients,Acids,Other Acids
