,Specification Number,Specification description,Region,Type,Volume,Spend,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4,nc_Model 1,nc_Model 2,nc_Model 3,nc_Model 4,nt_Model 1,nt_Model 2,nt_Model 3,nct_Model 1,nct_Model 2,nct_Model 3,nct_Model 4
89,200000008341,Sugar-Sucrose-Liquid-No.2,Global,ward_euclidean,225200.001,177515.58397055574,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid,0,7,0,5,21,0,21,4,36,14,33
90,200000009309,GLASS SUGAR -Nutryplus SAPI de CV,Global,ward_euclidean,3612625.0,2967004.76410694,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",12,0,12,24,26,35,26,12,0,15,21
91,200000002053,SUGAR-WHITE MILLED,Global,ward_euclidean,74300.0,51954.77416583989,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",15,0,15,7,28,3,28,52,0,52,4
92,200000004229,MEALS ONLY -Liquid Caramel-liquid,Global,ward_euclidean,295104.6000000001,902048.6933333332,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid,12,0,12,7,0,0,0,12,0,15,0
93,200000005085,Extract-Stevia -Powder,Global,ward_euclidean,160.0,54624.5705727273,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",15,5,15,8,23,0,23,52,0,52,16
94,200000007169,SWEETENER-LIQUID-SUCROSE,Global,ward_euclidean,10562840.095,6544040.739795702,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid,4,7,4,7,0,0,0,9,36,4,0
95,200000008060,SUGAR POWDERED,Global,ward_euclidean,61000.0,40729.97062653868,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",7,1,7,7,28,3,28,16,16,16,4
96,200000008307,Cinnamon Sugar Topping - No.2,Global,ward_euclidean,124780.0,418721.92,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,"Milled, Powder, Icing",31,18,31,10,25,18,25,14,21,30,9
97,200000000721,Grain-Starch Treacle (GFS 10),Global,ward_euclidean,2320.0,1329.419624,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,25,5,25,7,1,0,1,6,0,28,13
98,200000001929,"India, Invert Syrup",Global,ward_euclidean,44510.015999999996,20198.753045921112,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Liquid Invert,12,0,12,7,1,5,1,12,36,15,36
99,200000002382,COLOR-COCHINEAL CARMINE-LIQUID,Global,ward_euclidean,50.0,4469.63684865048,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,25,5,25,7,1,0,1,6,0,28,14
100,200000002568,"Color, Beta Carotene",Global,ward_euclidean,95.0,18957.54707738641,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,9,15,9,7,1,0,1,1,0,12,12
101,200000004046,Color - Red HPMC speckle,Global,ward_euclidean,217.8,37898.94,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,19,40,19,18,20,0,20,18,0,18,5
102,200000011085,Sugar-Golden-6x blend,Global,ward_euclidean,4468551.355,3665454.8460181425,,Ingredient,Sugars and Sweeteners,Sugars,Specialties,Others,43,12,43,13,18,0,18,21,29,21,7
103,200000001088,"Cane Sugar, Fine Grind",Global,ward_euclidean,0.0,0.0,,,,,,,12,0,12,4,1,0,1,12,0,15,10
