Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000007090,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000000422,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000001014,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000007216,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000000081,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000000082,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000005955,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000007192,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000007237,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000000024,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000000085,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000001902,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000001923,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000005477,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000005677,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
200000007216,SWEETENER-POWDER-SUCRALOSE,Global,ward_euclidean,118963.65599999999,5864686.98172446,2,0,2,4,200000007338,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Sucralose,Sucralose
