feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
citric,4.0,0.5901306410323287,MEU,Model 1,
jab,4.0,0.509281484564171,MEU,Model 1,
Total Solids %,4.0,0.4698613103406473,MEU,Model 1,
water,4.0,0.45800793017245406,MEU,Model 1,
others,4.0,0.43011731499553396,MEU,Model 1,
ph,4.0,0.4238197016542106,MEU,Model 1,
fischer,4.0,0.4145141708824091,MEU,Model 1,
monograph,4.0,0.2888575238138936,MEU,Model 1,
colour,4.0,0.25055929558444057,MEU,Model 1,
Quantitative - Moisture - Max,4.0,0.23264473945736042,MEU,Model 1,
comparision,4.0,0.2273914691555054,MEU,Model 1,
jecfa,4.0,0.21344365370691004,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Min Remaining SL Upon Receipt,4.0,0.20037008270108764,MEU,Model 1,
additive,4.0,0.18611101207565775,MEU,Model 1,
min,4.0,0.1715996844262913,MEU,Model 1,
citricacid,4.0,0.16805986133237213,MEU,Model 1,
Quantitative - Sulphates - Max,4.0,0.1454281228163663,MEU,Model 1,
ngm,4.0,0.1372574013988197,MEU,Model 1,
monohydrated,4.0,0.13151308480284993,MEU,Model 1,
karl,4.0,0.12899930370626306,MEU,Model 1,
anhydrous,4.0,0.12260100818742856,MEU,Model 1,
fcc,4.0,0.1177435266950535,MEU,Model 1,
use,4.0,0.1049483363169613,MEU,Model 1,
harmonize,4.0,0.09390990510921933,MEU,Model 1,
citricacidnon,4.0,0.059180807357652625,MEU,Model 1,
encapsulated,4.0,0.054504162729519134,MEU,Model 1,
crystals,4.0,0.053062504693675724,MEU,Model 1,
thiswillbeharmonizedto,4.0,0.04860944500967809,MEU,Model 1,
mediumgran,4.0,0.03201313149477353,MEU,Model 1,
harmonized,4.0,0.029686013579300504,MEU,Model 1,
monohydrate,4.0,0.02924909088216699,MEU,Model 1,
comparativesolution,4.0,0.02875604024224068,MEU,Model 1,
non,4.0,0.027991133385788677,MEU,Model 1,
opalescencesolution,4.0,0.02593710752674491,MEU,Model 1,
encaps,4.0,0.025380167732476856,MEU,Model 1,
medium,4.0,0.021924477961901882,MEU,Model 1,
comparison,4.0,0.021872841064619043,MEU,Model 1,
hplc,4.0,0.02011999126448795,MEU,Model 1,
gran,4.0,0.019536452893134628,MEU,Model 1,
proposedharmonizeto,4.0,0.017739047465279316,MEU,Model 1,
soln,4.0,0.016180998802189157,MEU,Model 1,
fine,4.0,0.014939174894755623,MEU,Model 1,
granular,4.0,0.009100609205994677,MEU,Model 1,
gmo,4.0,0.0,MEU,Model 1,
donot,4.0,0.0,MEU,Model 1,
citricacidmonohydratedfinegranular,4.0,0.0,MEU,Model 1,
citricacidmonohydrate,4.0,0.0,MEU,Model 1,
proposed,4.0,0.0,MEU,Model 1,
color,4.0,0.0,MEU,Model 1,
cformin,4.0,0.0,MEU,Model 1,
Quantitative - Assay (anhydrous basis) - Max,5.0,1.0,MEU,Model 1,
"Standard Composition - CITRIC ACID - Value, %",5.0,0.885405674036763,MEU,Model 1,
monohydrated,5.0,0.8602815466970695,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Total Shelf Life,5.0,0.8147301016734145,MEU,Model 1,
water,5.0,0.8110716199225074,MEU,Model 1,
eur,5.0,0.7636381242220713,MEU,Model 1,
proposedharmonizeto,5.0,0.6712365939959614,MEU,Model 1,
Quantitative - Sulphates - Max,5.0,0.6304351255704557,MEU,Model 1,
others,5.0,0.6296248733018927,MEU,Model 1,
colour,5.0,0.6264589203101546,MEU,Model 1,
acid,5.0,0.5820585614447997,MEU,Model 1,
harmonize,5.0,0.5565901207598477,MEU,Model 1,
fcc,5.0,0.5508690110541173,MEU,Model 1,
Quantitative - Moisture - Max,5.0,0.542799881417426,MEU,Model 1,
citric,5.0,0.5185760201316818,MEU,Model 1,
min,5.0,0.49621968066857913,MEU,Model 1,
proposed,5.0,0.4813088081280794,MEU,Model 1,
ph,5.0,0.47085128989658365,MEU,Model 1,
"Quantitative - Ash, sulphated - Max",5.0,0.4644674115595854,MEU,Model 1,
Total Solids %,5.0,0.4459712585521299,MEU,Model 1,
monograph,5.0,0.43993127430495876,MEU,Model 1,
