Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000000289,1.0,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000002395,0.8622331864424885,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000006627,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000006843,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000006844,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000006846,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000007251,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000007732,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000007977,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000008049,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000001439,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000006808,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000000616,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000000638,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000000723,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000005407,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000006653,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000289,ACID-Citric Acid-Monohydrate,MEU,ward_euclidean,1925.0,11566.162966832298,2,3,2,200000006712,,,ACID,Citric Acid,Monohydrate,Monohydrate
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000000616,0.9999999999999998,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000002395,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000006627,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000006843,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000006844,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000006846,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000007251,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000007732,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000007977,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000008049,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000001439,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000006808,0.7772332614390229,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000000289,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000000638,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000000723,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000005407,0.8552344454211954,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000006653,,,Acid,Citric Acid,E330,E330
200000000616,Acid-Citric Acid-E330,MEU,ward_euclidean,56000.0,78217.58689301946,7,0,7,200000006712,,,Acid,Citric Acid,E330,E330
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000000638,1.0000000000000002,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000002395,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000006627,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000006843,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
200000000638,Additive-Citric Acid Monohydrate,MEU,ward_euclidean,12900.0,33627.37179782608,3,3,3,200000006844,,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate
